DISTRICT,RTE,DESCRIPTION,County,City,State,Country,AHEAD_AADT
07,001,LOS ANGELES/ORANGE COUNTY LINE,Los Angeles County,Los Angeles,CA,USA,42500
07,001,"LONG BEACH, BELLFLOWER BOULEVARD",Los Angeles County,Los Angeles,CA,USA,26000
07,001,"LONG BEACH, JCT. RTE. 22",Los Angeles County,Los Angeles,CA,USA,34000
07,001,"LONG BEACH, ANAHEIM STREET",Los Angeles County,Los Angeles,CA,USA,28000
07,001,"LONG BEACH, CHERRY AVENUE",Los Angeles County,Los Angeles,CA,USA,37000
07,001,"LONG BEACH, LONG BEACH BOULEVARD",Los Angeles County,Los Angeles,CA,USA,34500
07,001,"LONG BEACH, JCT. RTE. 710",Los Angeles County,Los Angeles,CA,USA,39000
07,001,"LONG BEACH, JCT. RTE. 103",Los Angeles County,Los Angeles,CA,USA,32000
07,001,"LOS ANGELES, ALAMEDA STREET",Los Angeles County,Los Angeles,CA,USA,32500
07,001,"LOS ANGELES, AVALON BOULEVARD",Los Angeles County,Los Angeles,CA,USA,41000
07,001,"LOS ANGELES, JCT. RTE. 110",Los Angeles County,Los Angeles,CA,USA,56000
07,001,"LOS ANGELES, VERMONT AVENUE",Los Angeles County,Los Angeles,CA,USA,53000
07,001,"LOS ANGELES, NORMANDIE AVENUE",Los Angeles County,Los Angeles,CA,USA,48500
07,001,"LOS ANGELES, JCT. RTE. 213",Los Angeles County,Los Angeles,CA,USA,61000
07,001,"TORRANCE, CRENSHAW BOULEVARD",Los Angeles County,Los Angeles,CA,USA,43500
07,001,"TORRANCE, JCT. RTE. 107",Los Angeles County,Los Angeles,CA,USA,42500
07,001,"TORRANCE, PALOS VERDES BOULEVARD",Los Angeles County,Los Angeles,CA,USA,29500
07,001,"REDONDO BEACH, TORRANCE BOULEVARD",Los Angeles County,Los Angeles,CA,USA,39500
07,001,"HERMOSA BEACH, AVIATION BOULEVARD",Los Angeles County,Los Angeles,CA,USA,50000
07,001,"HERMOSA BEACH, PIER AVENUE/14TH STREET",Los Angeles County,Los Angeles,CA,USA,45500
07,001,"MANHATTAN BEACH, ARTESIA BOULEVARD",Los Angeles County,Los Angeles,CA,USA,46000
07,001,"MANHATTAN BEACH, MANHATTAN BEACH BLVD",Los Angeles County,Los Angeles,CA,USA,57000
07,001,"EL SEGUNDO, ROSECRANS AVENUE",Los Angeles County,Los Angeles,CA,USA,65000
07,001,"EL SEGUNDO, EL SEGUNDO BOULEVARD",Los Angeles County,Los Angeles,CA,USA,56000
07,001,"LOS ANGELES, JCT. RTE. 105",Los Angeles County,Los Angeles,CA,USA,110000
07,001,"LOS ANGELES, LA INT'NL AIRPORT, CENTURY BLVD",Los Angeles County,Los Angeles,CA,USA,83000
07,001,"LOS ANGELES, LA INT'NL AIRPORT, VIA LINCOLN BLVD",Los Angeles County,Los Angeles,CA,USA,37000
07,001,"LOS ANGELES, MANCHESTER AVENUE",Los Angeles County,Los Angeles,CA,USA,57000
07,001,"LOS ANGELES, JEFFERSON BOULEVARD",Los Angeles County,Los Angeles,CA,USA,58000
07,001,"LOS ANGELES, CULVER BOULEVARD",Los Angeles County,Los Angeles,CA,USA,60000
07,001,"LOS ANGELES, JCT. RTE. 90",Los Angeles County,Los Angeles,CA,USA,65000
07,001,"LOS ANGELES, WASHINGTON BLVD",Los Angeles County,Los Angeles,CA,USA,47500
07,001,"LOS ANGELES, JCT. RTE. 187",Los Angeles County,Los Angeles,CA,USA,41500
07,001,"SANTA MONICA, JCT. RTE. 10",Los Angeles County,Los Angeles,CA,USA,62000
07,001,"SANTA MONICA, OCEAN AVENUE",Los Angeles County,Los Angeles,CA,USA,73000
07,001,"SANTA MONICA, CALIFORNIA AVENUE",Los Angeles County,Los Angeles,CA,USA,79000
07,001,"LOS ANGELES, CHAUTAUQUA BOULEVARD",Los Angeles County,Los Angeles,CA,USA,80000
07,001,"LOS ANGELES, SUNSET BOULEVARD",Los Angeles County,Los Angeles,CA,USA,60000
07,001,JCT. RTE. 27,Los Angeles County,Los Angeles,CA,USA,49000
07,001,"MALIBU, LAS FLORES CANYON ROAD",Los Angeles County,Los Angeles,CA,USA,41000
07,001,"MALIBU, CROSS CREEK ROAD",Los Angeles County,Los Angeles,CA,USA,43000
07,001,"MALIBU, CIVIC CENTER WAY",Los Angeles County,Los Angeles,CA,USA,36500
07,001,"MALIBU, MALIBU CANYON ROAD",Los Angeles County,Los Angeles,CA,USA,29500
07,001,"MALIBU, KANAN DUME ROAD",Los Angeles County,Los Angeles,CA,USA,29500
07,001,"MALIBU, TRANCAS CANYON RD/BROAD BEACH RD",Los Angeles County,Los Angeles,CA,USA,16700
07,001,"MALIBU, LUNITA ROAD",Los Angeles County,Los Angeles,CA,USA,16700
07,001,"MALIBU, ENCINAL CANYON ROAD",Los Angeles County,Los Angeles,CA,USA,12300
07,001,"MALIBU, JCT. RTE. 23",Los Angeles County,Los Angeles,CA,USA,11700
07,001,MULHOLLAND HIGHWAY,Los Angeles County,Los Angeles,CA,USA,13400
07,001,LOS ANGELES/VENTURA COUNTY LINE,Los Angeles County,Los Angeles,CA,USA,
07,002,"LOS ANGELES, CENTINELA  AVENUE",Los Angeles County,Los Angeles,CA,USA,29500
07,002,"LOS ANGELES, BUNDY DRIVE",Los Angeles County,Los Angeles,CA,USA,30500
07,002,"LOS ANGELES, JCT. RTE. 405",Los Angeles County,Los Angeles,CA,USA,50000
07,002,"LOS ANGELES, SYCAMORE AVENUE",Los Angeles County,Los Angeles,CA,USA,40500
07,002,"LOS ANGELES, HIGHLAND AVENUE",Los Angeles County,Los Angeles,CA,USA,39000
07,002,"LOS ANGELES, VINE STREET",Los Angeles County,Los Angeles,CA,USA,37500
07,002,"LOS ANGELES, WILTON PLACE",Los Angeles County,Los Angeles,CA,USA,43500
07,002,"LOS ANGELES, WESTERN AVENUE",Los Angeles County,Los Angeles,CA,USA,56000
07,002,"LOS ANGELES, JCT. RTE. 101",Los Angeles County,Los Angeles,CA,USA,40500
07,002,"LOS ANGELES, SUNSET BOULEVARD",Los Angeles County,Los Angeles,CA,USA,38500
07,002,"LOS ANGELES, LEFT ONTO GLENDALE BLVD",Los Angeles County,Los Angeles,CA,USA,61000
07,002,"LOS ANGELES, RIGHT VIA THE GLENDALE FREEWAY",Los Angeles County,Los Angeles,CA,USA,58000
07,002,"LOS ANGELES, JCT. RTE. 5",Los Angeles County,Los Angeles,CA,USA,161000
07,002,"LOS ANGELES, SAN FERNANDO ROAD ",Los Angeles County,Los Angeles,CA,USA,154000
07,002,"LOS ANGELES, VERDUGO ROAD ",Los Angeles County,Los Angeles,CA,USA,141000
07,002,"LOS ANGELES, YORK BOULEVARD",Los Angeles County,Los Angeles,CA,USA,160000
07,002,"LOS ANGELES, JCT. RTE. 134",Los Angeles County,Los Angeles,CA,USA,130000
07,002,"GLENDALE, MOUNTAIN STREET ",Los Angeles County,Los Angeles,CA,USA,119000
07,002,"LA CANADA-FLINTRIDGE, JCT. RTE. 210",Los Angeles County,Los Angeles,CA,USA,14500
07,002,"LA CANADA-FLINTRIDGE, FOOTHILL BOULEVARD",Los Angeles County,Los Angeles,CA,USA,15400
07,002,"EAST JCT. RTE. 210, VIA ANGELES CREST HIGHWAY",Los Angeles County,Los Angeles,CA,USA,15400
07,002,VISTA DEL VALLE ROAD,Los Angeles County,Los Angeles,CA,USA,6900
07,002,ANGELES FOREST BOUNDARY,Los Angeles County,Los Angeles,CA,USA,3500
07,002,SLIDE CANYON BRIDGE,Los Angeles County,Los Angeles,CA,USA,4400
07,002,ANGELES FOREST HIGHWAY,Los Angeles County,Los Angeles,CA,USA,750
07,002,MOUNT WILSON ROAD,Los Angeles County,Los Angeles,CA,USA,370
07,002,"ENTRANCE, UPPER CHILAO RECREATION AREA",Los Angeles County,Los Angeles,CA,USA,380
07,002,BUCKHORN RANGER STATION,Los Angeles County,Los Angeles,CA,USA,230
07,002,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",Los Angeles County,Los Angeles,CA,USA,220
07,002,BLUE RIDGE ROAD,Los Angeles County,Los Angeles,CA,USA,390
07,002,BIG PINES HIGHWAY,Los Angeles County,Los Angeles,CA,USA,1600
07,002,LOS ANGELES/SAN BERNARDINO COUNTY LINE,Los Angeles County,Los Angeles,CA,USA,
07,005,ORANGE/LOS ANGELES COUNTY LINE,Los Angeles County,Los Angeles,CA,USA,171000
07,005,"SANTA FE SPRINGS, VALLEY VIEW AVENUE ",Los Angeles County,Los Angeles,CA,USA,168000
07,005,"SANTA FE SPRINGS, ALONDRA BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,169000
07,005,"NORWALK, CARMENITA ROAD ",Los Angeles County,Los Angeles,CA,USA,171000
07,005,"NORWALK, FIRESTONE BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,175000
07,005,"NORWALK, NORWALK BLVD/SAN ANTONIO AVE ",Los Angeles County,Los Angeles,CA,USA,176000
07,005,"NORWALK, IMPERIAL HIGHWAY ",Los Angeles County,Los Angeles,CA,USA,192000
07,005,"SANTA FE SPRINGS, JCT. RTE. 605",Los Angeles County,Los Angeles,CA,USA,228000
07,005,"DOWNEY, LAKEWOOD BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,234000
07,005,"DOWNEY, PARAMOUNT BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,233000
07,005,"COMMERCE, SLAUSON AVENUE ",Los Angeles County,Los Angeles,CA,USA,220000
07,005,"COMMERCE, GARFIELD AVENUE ",Los Angeles County,Los Angeles,CA,USA,219000
07,005,"COMMERCE, WASHINGTON BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,229000
07,005,"COMMERCE, ATLANTIC BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,232000
07,005,"COMMERCE, JCT. RTE. 710",Los Angeles County,Los Angeles,CA,USA,244000
07,005,DOWNEY ROAD ,Los Angeles County,Los Angeles,CA,USA,250000
07,005,DITMAN AVENUE ,Los Angeles County,Los Angeles,CA,USA,248000
07,005,INDIANA STREET ,Los Angeles County,Los Angeles,CA,USA,250000
07,005,"LOS ANGELES, JCT. RTE. 60",Los Angeles County,Los Angeles,CA,USA,234000
07,005,"LOS ANGELES, FOURTH STREET ",Los Angeles County,Los Angeles,CA,USA,241000
07,005,"LOS ANGELES, CESAR CHAVEZ DRIVE ",Los Angeles County,Los Angeles,CA,USA,228000
07,005,"LOS ANGELES, JCT. RTE. 10",Los Angeles County,Los Angeles,CA,USA,234000
07,005,"LOS ANGELES, MAIN STREET ",Los Angeles County,Los Angeles,CA,USA,230000
07,005,"LOS ANGELES, NORTH BROADWAY ",Los Angeles County,Los Angeles,CA,USA,220000
07,005,"LOS ANGELES, JCT. RTE. 110",Los Angeles County,Los Angeles,CA,USA,283000
07,005,"LOS ANGELES, STADIUM WAY ",Los Angeles County,Los Angeles,CA,USA,278000
07,005,"LOS ANGELES, JCT. RTE. 2",Los Angeles County,Los Angeles,CA,USA,233000
07,005,"LOS ANGELES, GLENDALE BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,224000
07,005,"LOS ANGELES, LOS FELIZ BLVD/GRIFFITH PARK DR",Los Angeles County,Los Angeles,CA,USA,247000
07,005,"LOS ANGELES, COLORADO BOULEVARD",Los Angeles County,Los Angeles,CA,USA,258000
07,005,"LOS ANGELES, JCT. RTE. 134",Los Angeles County,Los Angeles,CA,USA,237000
07,005,"GLENDALE, WESTERN AVENUE ",Los Angeles County,Los Angeles,CA,USA,230000
07,005,"BURBANK, ALAMEDA AVENUE ",Los Angeles County,Los Angeles,CA,USA,224000
07,005,"BURBANK, OLIVE AVENUE ",Los Angeles County,Los Angeles,CA,USA,215000
07,005,"BURBANK, BURBANK BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,204000
07,005,"BURBANK, VICTORY BLVD/LINCOLN ST ",Los Angeles County,Los Angeles,CA,USA,192000
07,005,"BURBANK, BUENA VISTA STREET ",Los Angeles County,Los Angeles,CA,USA,194000
07,005,"LOS ANGELES, HOLLYWOOD WAY ",Los Angeles County,Los Angeles,CA,USA,205000
07,005,"LOS ANGELES, ROSCOE BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,193000
07,005,"LOS ANGELES, SUNLAND BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,196000
07,005,"LOS ANGELES, PENROSE STREET ",Los Angeles County,Los Angeles,CA,USA,193000
07,005,"LOS ANGELES, LANKERSHIM BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,193000
07,005,"LOS ANGELES, SHELDON ST/LAUREL CANYON BLVD ",Los Angeles County,Los Angeles,CA,USA,194000
07,005,"LOS ANGELES, JCT. RTE. 170",Los Angeles County,Los Angeles,CA,USA,292000
07,005,"LOS ANGELES, OSBORNE STREET ",Los Angeles County,Los Angeles,CA,USA,307000
07,005,"LOS ANGELES, TERRA BELLA STREET ",Los Angeles County,Los Angeles,CA,USA,299000
07,005,"LOS ANGELES, VAN NUYS BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,289000
07,005,"LOS ANGELES, JCT. RTE. 118",Los Angeles County,Los Angeles,CA,USA,196000
07,005,"LOS ANGELES, BRAND BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,190000
07,005,"LOS ANGELES, SAN FERNANDO MISSION BLVD",Los Angeles County,Los Angeles,CA,USA,187000
07,005,"LOS ANGELES, JCT. RTE. 405",Los Angeles County,Los Angeles,CA,USA,304000
07,005,"LOS ANGELES, ROXFORD STREET ",Los Angeles County,Los Angeles,CA,USA,282000
07,005,"LOS ANGELES, JCT. RTE. 210",Los Angeles County,Los Angeles,CA,USA,286000
07,005,BREAK IN ROUTE,Los Angeles County,Los Angeles,CA,USA,
07,005,"LOS ANGELES, BEGIN TRUCK FWY, RIGHT ALIGN",Los Angeles County,Los Angeles,CA,USA,18500
07,005,"LOS ANGELES, END TRUCK FWY, RIGHT ALIGN",Los Angeles County,Los Angeles,CA,USA,
07,005,"LOS ANGELES, BEGIN TRUCK FWY, LEFT ALIGN",Los Angeles County,Los Angeles,CA,USA,18500
07,005,"LOS ANGELES, END TRUCK FWY, LEFT ALIGN",Los Angeles County,Los Angeles,CA,USA,
07,005,"LOS ANGELES, END TRUCK FWY RIGHT AND LEFT ALIGN",Los Angeles County,Los Angeles,CA,USA,53000
07,005,RTE. 5/14 SEPARATION OVERHEAD,Los Angeles County,Los Angeles,CA,USA,34500
07,005,END TRUCK FREEWAY,Los Angeles County,Los Angeles,CA,USA,
07,005,BREAK IN ROUTE,Los Angeles County,Los Angeles,CA,USA,
07,005,JCT. RTE. 14,Los Angeles County,Los Angeles,CA,USA,206000
07,005,"SANTA CLARITA, CALGROVE BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,205000
07,005,"SANTA CLARITA, LYONS AVENUE ",Los Angeles County,Los Angeles,CA,USA,192000
07,005,"SANTA CLARITA, MC BEAN PARKWAY ",Los Angeles County,Los Angeles,CA,USA,181000
07,005,"SANTA CLARITA, VALENCIA BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,159000
07,005,"SANTA CLARITA, SOUTH JCT. RTE. 126",Los Angeles County,Los Angeles,CA,USA,144000
07,005,"SANTA CLARITA, RYE CANYON ROAD ",Los Angeles County,Los Angeles,CA,USA,135000
07,005,"SANTA CLARITA, NORTH JCT. RTE. 126",Los Angeles County,Los Angeles,CA,USA,118000
07,005,HASLEY CANYON ROAD ,Los Angeles County,Los Angeles,CA,USA,95000
07,005,PARKER ROAD ,Los Angeles County,Los Angeles,CA,USA,76000
07,005,LAKE HUGHES ROAD ,Los Angeles County,Los Angeles,CA,USA,73000
07,005,TEMPLIN HIGHWAY ,Los Angeles County,Los Angeles,CA,USA,72000
07,005,VISTA DEL LAGO ROAD ,Los Angeles County,Los Angeles,CA,USA,72000
07,005,SMOKEY BEAR ROAD ,Los Angeles County,Los Angeles,CA,USA,70000
07,005,SOUTH JCT. RTE. 138,Los Angeles County,Los Angeles,CA,USA,69000
07,005,QUAIL LAKE ROAD ,Los Angeles County,Los Angeles,CA,USA,69000
07,005,NORTH JCT. RTE. 138,Los Angeles County,Los Angeles,CA,USA,73000
07,005,GORMAN ROAD ,Los Angeles County,Los Angeles,CA,USA,74000
07,005,FRAZIER MOUNTAIN PARK ROAD ,Los Angeles County,Los Angeles,CA,USA,76000
07,005,LOS ANGELES/KERN COUNTY LINE,Los Angeles County,Los Angeles,CA,USA,
07,010,"SANTA MONICA, JCT. RTE. 1",Los Angeles County,Los Angeles,CA,USA,150000
07,010,"SANTA MONICA, CLOVERFIELD BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,188000
07,010,"SANTA MONICA, CENTINELA AVE/PICO BLVD ",Los Angeles County,Los Angeles,CA,USA,194000
07,010,"LOS ANGELES, BUNDY DRIVE ",Los Angeles County,Los Angeles,CA,USA,238000
07,010,"LOS ANGELES, JCT. RTE. 405",Los Angeles County,Los Angeles,CA,USA,251000
07,010,"LOS ANGELES, OVERLAND AVENUE ",Los Angeles County,Los Angeles,CA,USA,247000
07,010,"LOS ANGELES, NATIONAL BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,263000
07,010,"LOS ANGELES, ROBERTSON BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,260000
07,010,"LOS ANGELES, JCT. RTE. 187",Los Angeles County,Los Angeles,CA,USA,280000
07,010,"LOS ANGELES, LA BREA AVENUE ",Los Angeles County,Los Angeles,CA,USA,294000
07,010,"LOS ANGELES, CRENSHAW BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,322000
07,010,"LOS ANGELES, ARLINGTON AVENUE ",Los Angeles County,Los Angeles,CA,USA,336000
07,010,"LOS ANGELES, WESTERN AVENUE ",Los Angeles County,Los Angeles,CA,USA,347000
07,010,"LOS ANGELES, NORMANDIE AVENUE ",Los Angeles County,Los Angeles,CA,USA,354000
07,010,"LOS ANGELES, VERMONT AVENUE ",Los Angeles County,Los Angeles,CA,USA,355000
07,010,"LOS ANGELES, HOOVER STREET ",Los Angeles County,Los Angeles,CA,USA,350000
07,010,"LOS ANGELES, JCT. RTE. 110",Los Angeles County,Los Angeles,CA,USA,259000
07,010,"LOS ANGELES, LOS ANGELES STREET ",Los Angeles County,Los Angeles,CA,USA,260000
07,010,"LOS ANGELES, SAN PEDRO ST/CENTRAL AVE ",Los Angeles County,Los Angeles,CA,USA,286000
07,010,"LOS ANGELES, ALAMEDA STREET ",Los Angeles County,Los Angeles,CA,USA,294000
07,010,"LOS ANGELES, SANTA FE AVENUE ",Los Angeles County,Los Angeles,CA,USA,311000
07,010,"LOS ANGELES, JCT. RTE. 5",Los Angeles County,Los Angeles,CA,USA,198000
07,010,BREAK IN ROUTE,Los Angeles County,Los Angeles,CA,USA,
07,010,"LOS ANGELES, BEGIN BUSWAY AT ALAMEDA ST",Los Angeles County,Los Angeles,CA,USA,8600
07,010,"LOS ANGELES, JCT.  RTE.  101/BUS PLAZA ",Los Angeles County,Los Angeles,CA,USA,12400
07,010,"LOS ANGELES, JCT. RTE. 5",Los Angeles County,Los Angeles,CA,USA,13700
07,010,"ALHAMBRA, JCT. RTE. 710",Los Angeles County,Los Angeles,CA,USA,35000
07,010,"ALHAMBRA, DEL MAR AVENUE ",Los Angeles County,Los Angeles,CA,USA,32000
07,010,"EL MONTE, CONNECT TO SAN BERNARDINO FWY",Los Angeles County,Los Angeles,CA,USA,680
07,010,"EL MONTE, EL MONTE BUS STA/SNTA ANITA END OF BUSWAY",Los Angeles County,Los Angeles,CA,USA,
07,010,BREAK IN ROUTE,Los Angeles County,Los Angeles,CA,USA,
07,010,"LOS ANGELES, SOTO STREET ",Los Angeles County,Los Angeles,CA,USA,218000
07,010,CITY TERRACE DRIVE ,Los Angeles County,Los Angeles,CA,USA,208000
07,010,"MONTEREY PARK, JCT. RTE. 710",Los Angeles County,Los Angeles,CA,USA,203000
07,010,"ALHAMBRA, FREMONT AVENUE ",Los Angeles County,Los Angeles,CA,USA,209000
07,010,"ALHAMBRA, ATLANTIC BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,211000
07,010,"ALHAMBRA, GARFIELD AVENUE ",Los Angeles County,Los Angeles,CA,USA,221000
07,010,"MONTEREY PARK, NEW AVENUE ",Los Angeles County,Los Angeles,CA,USA,227000
07,010,"SOUTH SAN GABRIEL, DEL MAR AVENUE ",Los Angeles County,Los Angeles,CA,USA,225000
07,010,"ROSEMEAD, SAN GABRIEL BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,220000
07,010,"ROSEMEAD, WALNUT GROVE AVENUE ",Los Angeles County,Los Angeles,CA,USA,219000
07,010,"EL MONTE, JCT. RTE. 164",Los Angeles County,Los Angeles,CA,USA,205000
07,010,"EL MONTE, TEMPLE CITY BLVD/BALDWIN AVE",Los Angeles County,Los Angeles,CA,USA,236000
07,010,"EL MONTE, SANTA ANITA AVENUE ",Los Angeles County,Los Angeles,CA,USA,233000
07,010,"EL MONTE, VALLEY BOULEVARD/PECK ROAD ",Los Angeles County,Los Angeles,CA,USA,222000
07,010,"EL MONTE, GARVEY AVENUE ",Los Angeles County,Los Angeles,CA,USA,235000
07,010,"BALDWIN PARK, JCT. RTE. 605",Los Angeles County,Los Angeles,CA,USA,222000
07,010,"BALDWIN PARK, BESS AVENUE/ FRAZIER STREET ",Los Angeles County,Los Angeles,CA,USA,202000
07,010,"BALDWIN PARK, BALDWIN PARK BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,191000
07,010,"BALDWIN PARK, FRANCISQUITO AVENUE ",Los Angeles County,Los Angeles,CA,USA,172000
07,010,"BALDWIN PARK, PUENTE AVENUE ",Los Angeles County,Los Angeles,CA,USA,174000
07,010,"WEST COVINA, ORANGE/ PACIFIC AVENUES ",Los Angeles County,Los Angeles,CA,USA,187000
07,010,"WEST COVINA, CALIFORNIA/VINCENT AVENUES ",Los Angeles County,Los Angeles,CA,USA,200000
07,010,"WEST COVINA, AZUSA AVENUE ",Los Angeles County,Los Angeles,CA,USA,219000
07,010,"WEST COVINA, CITRUS STREET ",Los Angeles County,Los Angeles,CA,USA,221000
07,010,"WEST COVINA, BARRANCA STREET ",Los Angeles County,Los Angeles,CA,USA,224000
07,010,"WEST COVINA, GRAND AVENUE ",Los Angeles County,Los Angeles,CA,USA,215000
07,010,"WEST COVINA, HOLT AVENUE ",Los Angeles County,Los Angeles,CA,USA,217000
07,010,VIA VERDE ,Los Angeles County,Los Angeles,CA,USA,216000
07,010,"POMONA, JCT. RTES. 57/71",Los Angeles County,Los Angeles,CA,USA,266000
07,010,"POMONA, FAIRPLEX DRIVE ",Los Angeles County,Los Angeles,CA,USA,267000
07,010,"POMONA, DUDLEY STREET ",Los Angeles County,Los Angeles,CA,USA,268000
07,010,"POMONA, WHITE AVENUE ",Los Angeles County,Los Angeles,CA,USA,259000
07,010,"POMONA, GAREY AVENUE ",Los Angeles County,Los Angeles,CA,USA,273000
07,010,"POMONA, TOWNE AVENUE ",Los Angeles County,Los Angeles,CA,USA,278000
07,010,"POMONA, INDIAN HILL BOULEVARD ",Los Angeles County,Los Angeles,CA,USA,278000
07,010,LOS ANGELES/SAN BERNARDINO COUNTY LINE,Los Angeles County,Los Angeles,CA,USA,
07,014,NORTH JCT. RTE. 5,Los Angeles County,Los Angeles,CA,USA,7700
07,014,PLACERITA CYN RD,Los Angeles County,Los Angeles,CA,USA,18000
07,014,FRIENDLY VALLEY PARKWAY,Los Angeles County,Los Angeles,CA,USA,
07,014,SOUTH JCT. RTE. 5,Los Angeles County,Los Angeles,CA,USA,181000
07,014,"SANTA CLARITA, SAN FERNANDO ROAD ",Los Angeles County,Los Angeles,CA,USA,165000
07,014,"SANTA CLARITA, PLACERITA CANYON ROAD ",Los Angeles County,Los Angeles,CA,USA,155000
07,014,"SANTA CLARITA, GOLDEN VALLEY ROAD ",Los Angeles County,Los Angeles,CA,USA,153000
07,014,SIERRA HIGHWAY ,Los Angeles County,Los Angeles,CA,USA,119000
07,014,"SANTA CLARITA, SAND CANYON ROAD ",Los Angeles County,Los Angeles,CA,USA,108000
07,014,"SANTA CLARITA, SHADOW PINES BLVD/SOLEDAD RD ",Los Angeles County,Los Angeles,CA,USA,105000
07,014,AGUA DULCE CANYON ROAD ,Los Angeles County,Los Angeles,CA,USA,103000
07,014,ESCONDIDO CANYON ROAD ,Los Angeles County,Los Angeles,CA,USA,102000
07,014,WARD ROAD ,Los Angeles County,Los Angeles,CA,USA,104000
07,014,CROWN VALLEY ROAD ,Los Angeles County,Los Angeles,CA,USA,104000
07,014,SANTIAGO ROAD ,Los Angeles County,Los Angeles,CA,USA,105000
07,014,SOLEDAD CANYON ROAD/SIERRA HIGHWAY ,Los Angeles County,Los Angeles,CA,USA,105000
07,014,ANGELES FOREST HIGHWAY ,Los Angeles County,Los Angeles,CA,USA,80000
07,014,"PALMDALE, AVENUE S ",Los Angeles County,Los Angeles,CA,USA,84000
07,014,"PALMDALE, SOUTH JCT. RTE. 138",Los Angeles County,Los Angeles,CA,USA,89000
07,014,"PALMDALE, 10TH STREET WEST ",Los Angeles County,Los Angeles,CA,USA,89000
07,014,"PALMDALE, AVENUE N ",Los Angeles County,Los Angeles,CA,USA,94000
07,014,"LANCASTER, COLUMBIA WAY/AVENUE M ",Los Angeles County,Los Angeles,CA,USA,91000
07,014,"LANCASTER, AVENUE L ",Los Angeles County,Los Angeles,CA,USA,76000
07,014,"LANCASTER, AVENUE K ",Los Angeles County,Los Angeles,CA,USA,62000
07,014,"LANCASTER, AVENUE J-8/20TH STREET WEST ",Los Angeles County,Los Angeles,CA,USA,45000
07,014,"LANCASTER, AVENUE J ",Los Angeles County,Los Angeles,CA,USA,51000
07,014,"LANCASTER, AVENUE I ",Los Angeles County,Los Angeles,CA,USA,43500
07,014,"LANCASTER, AVENUE H ",Los Angeles County,Los Angeles,CA,USA,42000
07,014,AVENUE G ,Los Angeles County,Los Angeles,CA,USA,41500
07,014,AVENUE F ,Los Angeles County,Los Angeles,CA,USA,40000
07,014,NORTH JCT. RTE. 138,Los Angeles County,Los Angeles,CA,USA,37500
07,014,"AVENUE A, LOS ANGELES/KERN COUNTY LINE",Los Angeles County,Los Angeles,CA,USA,
