DESCRIPTION,City,County,State,Country,AVG_AADT,AVG_TruckCounts
ALMANSOR AVE,LA,Los Angeles County,CA,USA,221000,6807
BUSWAY; EAST LA CITY LIMITS,LA,Los Angeles County,CA,USA,13700,1434
E/O POLK ST; ASTORIA ST PED OC,LA,Los Angeles County,CA,USA,95500,6446
EAST LOS ANGELES CITY LIMITS,LA,Los Angeles County,CA,USA,218000,6736
EAST OF INDIANA ST; ROWAN AVE,LA,Los Angeles County,CA,USA,239000,16637
"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",LA,Los Angeles County,CA,USA,220,11
"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",LA,Los Angeles County,CA,USA,220,11
"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",LA,Los Angeles County,CA,USA,220,11
"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",LA,Los Angeles County,CA,USA,220,11
"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",LA,Los Angeles County,CA,USA,220,11
"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",LA,Los Angeles County,CA,USA,220,11
"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",LA,Los Angeles County,CA,USA,220,11
"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",LA,Los Angeles County,CA,USA,220,11
JCT. RTE. 14 SOUTH,LA,Los Angeles County,CA,USA,35000,1887
"LONG BEACH, HEIM LIFT BRIDGE",LA,Los Angeles County,CA,USA,16900,9721
"LOS ANGELES, STADIUM WAY OVERCROSSING",LA,Los Angeles County,CA,USA,92500,1036
LOS ANGELES/KERN COUNTY LINE,LA,Los Angeles County,CA,USA,79000,19826
LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA,188633,11164
LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA,111433,5585
LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA,189067,11170
LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA,111867,5592
LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA,120567,6160
LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA,43367,581
LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA,257133,16174
LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA,179933,10596
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,135833,8915
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,47833,3290
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,83167,5389
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,43732,2868
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,278000,18209
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,190000,12584
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,225333,14683
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,185899,12162
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,189333,12520
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,101333,6895
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,136667,8994
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,97232,6473
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,132000,8698
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,44000,3072
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,79333,5172
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,39899,2650
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,99833,6752
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,11833,1126
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,47167,3226
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,7732,704
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,220667,14387
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,132667,8761
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,168000,10861
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,128565,8339
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,225333,14683
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,137333,9058
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,172667,11158
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,133232,8636
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,188500,12441
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,100500,6815
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,135833,8915
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,96399,6393
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,168000,10861
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,80000,5236
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,115333,7335
LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA,75899,4814
N/O SHERMAN WAY; SATICOY ST,LA,Los Angeles County,CA,USA,217000,8919
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,207333,15742
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,184333,12736
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,197100,15470
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,193667,15129
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,170667,12124
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,183433,14858
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,193333,13402
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,170333,10397
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,183100,13131
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,207333,15742
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,184333,12736
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,197100,15470
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,193333,13402
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,170333,10397
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,183100,13131
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,207000,14015
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,184000,11009
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,196767,13743
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,221000,16354
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,198000,13349
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,210767,16083
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,193000,11675
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,170000,8670
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,182767,11404
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,207000,14015
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,184000,11009
ORANGE/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,196767,13743
S/O JCT RTE 405;N/O RINALDI ST,LA,Los Angeles County,CA,USA,185000,5588
S/O LAUREL CYN BL; COLFAX AVE,LA,Los Angeles County,CA,USA,274000,11590
S/O SHERMAN WAY; VAN OWEN ST,LA,Los Angeles County,CA,USA,206000,7375
SAN GABRIEL RIVER BRIDGE,LA,Los Angeles County,CA,USA,176000,12126
SAN GABRIEL RIVER BRIDGE,LA,Los Angeles County,CA,USA,118117,8121
SAN GABRIEL RIVER BRIDGE,LA,Los Angeles County,CA,USA,60233,4115
SAN GABRIEL RIVER BRIDGE,LA,Los Angeles County,CA,USA,2350,109
SAN GABRIEL RIVER BRIDGE,LA,Los Angeles County,CA,USA,118117,8121
SAN GABRIEL RIVER BRIDGE,LA,Los Angeles County,CA,USA,60233,4115
SAN GABRIEL RIVER BRIDGE,LA,Los Angeles County,CA,USA,118117,8121
SAN GABRIEL RIVER BRIDGE,LA,Los Angeles County,CA,USA,60233,4115
"SANTA MONICA, MCCLURE TUNNEL",LA,Los Angeles County,CA,USA,62000,3367
VENTURA/LOS ANGELES COUNTY LINE,LA,Los Angeles County,CA,USA,22600,2113
